,HGCROC,Channel,CMB,Quadbar,Bar,Plane,AllBar,Elink,End
266,1,11,3,1,3,15,3,2,0
267,1,12,3,1,4,15,4,2,0
268,1,13,4,1,1,15,1,2,1
269,1,14,4,1,2,15,2,2,1
270,1,15,4,1,3,15,3,2,1
271,1,16,4,1,4,15,4,2,1
272,1,18,5,2,1,15,5,2,0
273,1,19,5,2,2,15,6,2,0
274,1,20,5,2,3,15,7,2,0
275,1,21,5,2,4,15,8,2,0
276,1,22,6,2,1,15,5,2,1
277,1,23,6,2,2,15,6,2,1
278,1,24,6,2,3,15,7,2,1
279,1,25,6,2,4,15,8,2,1
280,1,27,7,3,1,15,9,2,0
281,1,28,7,3,2,15,10,2,0
282,1,29,7,3,3,15,11,2,0
283,1,30,7,3,4,15,12,2,0
284,1,31,8,3,1,15,9,2,1
285,1,32,8,3,2,15,10,2,1
286,1,33,8,3,3,15,11,2,1
287,1,34,8,3,4,15,12,2,1
288,1,36,9,1,1,16,1,3,0
289,1,37,9,1,2,16,2,3,0
290,1,38,9,1,3,16,3,3,0
291,1,39,9,1,4,16,4,3,0
292,1,40,10,1,1,16,1,3,1
293,1,41,10,1,2,16,2,3,1
294,1,42,10,1,3,16,3,3,1
295,1,43,10,1,4,16,4,3,1
296,1,45,11,2,1,16,5,3,0
297,1,46,11,2,2,16,6,3,0
298,1,47,11,2,3,16,7,3,0
299,1,48,11,2,4,16,8,3,0
300,1,49,12,2,1,16,5,3,1
301,1,50,12,2,2,16,6,3,1
302,1,51,12,2,3,16,7,3,1
303,1,52,12,2,4,16,8,3,1
304,1,54,13,3,1,16,9,3,0
305,1,55,13,3,2,16,10,3,0
306,1,56,13,3,3,16,11,3,0
307,1,57,13,3,4,16,12,3,0
308,1,58,14,3,1,16,9,3,1
309,1,59,14,3,2,16,10,3,1
310,1,60,14,3,3,16,11,3,1
311,1,61,14,3,4,16,12,3,1
312,1,63,15,1,1,17,1,3,0
313,1,64,15,1,2,17,2,3,0
314,1,65,15,1,3,17,3,3,0
315,1,66,15,1,4,17,4,3,0
316,1,67,16,1,1,17,1,3,1
317,1,68,16,1,2,17,2,3,1
318,1,69,16,1,3,17,3,3,1
319,1,70,16,1,4,17,4,3,1
320,2,0,1,2,1,17,5,4,0
321,2,1,1,2,2,17,6,4,0
322,2,2,1,2,3,17,7,4,0
323,2,3,1,2,4,17,8,4,0
324,2,4,2,2,1,17,5,4,1
325,2,5,2,2,2,17,6,4,1
326,2,6,2,2,3,17,7,4,1
327,2,7,2,2,4,17,8,4,1
328,2,9,3,3,1,17,9,4,0
329,2,10,3,3,2,17,10,4,0
330,2,11,3,3,3,17,11,4,0
331,2,12,3,3,4,17,12,4,0
332,2,13,4,3,1,17,9,4,1
333,2,14,4,3,2,17,10,4,1
334,2,15,4,3,3,17,11,4,1
335,2,16,4,3,4,17,12,4,1
336,2,18,5,1,1,18,1,4,0
337,2,19,5,1,2,18,2,4,0
338,2,20,5,1,3,18,3,4,0
339,2,21,5,1,4,18,4,4,0
340,2,22,6,1,1,18,1,4,1
341,2,23,6,1,2,18,2,4,1
342,2,24,6,1,3,18,3,4,1
343,2,25,6,1,4,18,4,4,1
344,2,27,7,2,1,18,5,4,0
345,2,28,7,2,2,18,6,4,0
346,2,29,7,2,3,18,7,4,0
347,2,30,7,2,4,18,8,4,0
348,2,31,8,2,1,18,5,4,1
349,2,32,8,2,2,18,6,4,1
350,2,33,8,2,3,18,7,4,1
351,2,34,8,2,4,18,8,4,1
352,2,36,9,3,1,18,9,5,0
353,2,37,9,3,2,18,10,5,0
354,2,38,9,3,3,18,11,5,0
355,2,39,9,3,4,18,12,5,0
356,2,40,10,3,1,18,9,5,1
357,2,41,10,3,2,18,10,5,1
358,2,42,10,3,3,18,11,5,1
359,2,43,10,3,4,18,12,5,1
360,2,45,11,1,1,19,1,5,0
361,2,46,11,1,2,19,2,5,0
362,2,47,11,1,3,19,3,5,0
363,2,48,11,1,4,19,4,5,0
364,2,49,12,1,1,19,1,5,1
365,2,50,12,1,2,19,2,5,1
366,2,51,12,1,3,19,3,5,1
367,2,52,12,1,4,19,4,5,1
368,2,54,13,2,1,19,5,5,0
369,2,55,13,2,2,19,6,5,0
370,2,56,13,2,3,19,7,5,0
371,2,57,13,2,4,19,8,5,0
372,2,58,14,2,1,19,5,5,1
373,2,59,14,2,2,19,6,5,1
374,2,60,14,2,3,19,7,5,1
375,2,61,14,2,4,19,8,5,1
376,2,63,15,3,1,19,9,5,0
377,2,64,15,3,2,19,10,5,0
378,2,65,15,3,3,19,11,5,0
379,2,66,15,3,4,19,12,5,0
380,2,67,16,3,1,19,9,5,1
381,2,68,16,3,2,19,10,5,1
382,2,69,16,3,3,19,11,5,1
383,2,70,16,3,4,19,12,5,1
